TStamp Australia/Sydney	Latitude [deg]	Longitude [deg]	Altitude [above WGS84]	Accuracy [m 68% confidence radius]
1487834959000	-37.814258	145.160782	116.500000	5.500000
1487834960000	-37.814255	145.160775	116.700000	5.500000
1487834961000	-37.814250	145.160775	116.900000	5.500000
1487834962000	-37.814250	145.160775	116.900000	5.500000
1487834963000	-37.814250	145.160775	116.900000	5.500000
1487834964000	-37.814250	145.160775	116.900000	5.500000
1487834965000	-37.814250	145.160775	116.900000	5.500000
1487834966000	-37.814250	145.160775	116.900000	5.500000
1487834967000	-37.814250	145.160775	116.900000	5.500000
1487834968000	-37.814250	145.160775	116.900000	5.500000
1487834969000	-37.814250	145.160775	116.900000	5.500000
1487834970000	-37.814250	145.160775	116.900000	5.500000
1487834971000	-37.814250	145.160775	116.900000	5.500000
1487834972000	-37.814250	145.160775	116.900000	5.500000
1487834973000	-37.814292	145.160778	117.600000	5.500000
1487834974000	-37.814290	145.160778	117.500000	5.500000
1487834975000	-37.814290	145.160780	117.500000	5.500000
1487834976000	-37.814290	145.160780	117.400000	5.500000
1487834977000	-37.814290	145.160780	117.400000	5.500000
1487834978000	-37.814290	145.160780	117.400000	5.500000
1487834979000	-37.814290	145.160780	117.400000	5.500000
1487834980000	-37.814282	145.160800	117.600000	5.500000
1487834981000	-37.814283	145.160798	117.700000	5.500000
1487834982000	-37.814288	145.160803	117.700000	5.500000
1487834983000	-37.814288	145.160802	117.800000	5.500000
1487834984000	-37.814288	145.160802	117.800000	5.500000
1487834985000	-37.814310	145.160807	117.900000	5.500000
1487834986000	-37.814305	145.160800	118.000000	5.500000
1487834987000	-37.814302	145.160803	118.000000	5.500000
1487834988000	-37.814290	145.160802	118.000000	5.500000
1487834989000	-37.814290	145.160802	118.000000	5.500000
1487834990000	-37.814290	145.160802	118.000000	5.500000
1487834991000	-37.814290	145.160802	118.000000	5.500000
1487834992000	-37.814290	145.160802	118.000000	5.500000
1487834993000	-37.814290	145.160802	118.000000	5.500000
1487834994000	-37.814290	145.160802	118.000000	5.500000
1487834995000	-37.814290	145.160802	118.000000	5.500000
1487834996000	-37.814290	145.160802	118.000000	5.500000
1487834997000	-37.814290	145.160802	118.000000	5.500000
1487834998000	-37.814290	145.160802	118.000000	5.500000
1487834999000	-37.814290	145.160802	118.000000	5.500000
1487835000000	-37.814290	145.160802	118.000000	5.500000
1487835001000	-37.814290	145.160802	118.000000	5.500000
1487835002000	-37.814290	145.160802	118.000000	5.500000
1487835003000	-37.814290	145.160802	118.000000	5.500000
1487835004000	-37.814290	145.160802	118.000000	5.500000
1487835005000	-37.814290	145.160802	118.000000	5.500000
1487835006000	-37.814290	145.160802	118.000000	5.500000
1487835007000	-37.814290	145.160802	118.000000	5.500000
1487835008000	-37.814290	145.160802	118.000000	5.400000
1487835009000	-37.814290	145.160802	118.000000	5.400000
1487835010000	-37.814290	145.160802	118.000000	5.400000
1487835011000	-37.814290	145.160802	118.000000	5.400000
1487835012000	-37.814290	145.160802	118.000000	5.400000
1487835013000	-37.814290	145.160802	118.000000	5.400000
1487835014000	-37.814290	145.160802	118.000000	5.400000
1487835015000	-37.814290	145.160802	118.000000	5.500000
1487835016000	-37.814290	145.160802	118.000000	5.200000
1487835017000	-37.814290	145.160802	118.000000	5.300000
1487835018000	-37.814290	145.160802	118.000000	5.300000
1487835019000	-37.814290	145.160802	118.000000	5.400000
1487835020000	-37.814290	145.160802	118.000000	5.400000
1487835021000	-37.814290	145.160802	118.000000	5.400000
1487835022000	-37.814290	145.160802	118.000000	5.400000
1487835023000	-37.814290	145.160802	118.000000	5.500000
1487835024000	-37.814290	145.160802	118.000000	5.500000
1487835025000	-37.814290	145.160802	118.000000	5.500000
1487835026000	-37.814290	145.160802	118.000000	5.500000
1487835027000	-37.814290	145.160802	118.000000	5.500000
1487835028000	-37.814290	145.160802	118.000000	5.500000
1487835029000	-37.814290	145.160802	118.000000	5.500000
1487835030000	-37.814290	145.160802	118.000000	5.500000
1487835031000	-37.814290	145.160802	118.000000	5.500000
1487835032000	-37.814290	145.160802	118.000000	5.500000
1487835033000	-37.814223	145.160783	120.000000	5.500000
1487835034000	-37.814222	145.160785	120.000000	5.500000
1487835035000	-37.814218	145.160788	120.000000	5.500000
1487835036000	-37.814235	145.160778	120.100000	5.500000
1487835037000	-37.814235	145.160778	120.100000	5.500000
1487835038000	-37.814235	145.160778	120.100000	5.500000
1487835039000	-37.814235	145.160778	120.100000	5.500000
1487835040000	-37.814235	145.160778	120.100000	5.500000
1487835041000	-37.814235	145.160778	120.100000	5.500000
