TStamp Australia/Hobart	Latitude [deg]	Longitude [deg]	Altitude [above WGS84]	Accuracy [m 68% confidence radius]	Speed [m/s]	Bearing [deg]
1503649432000	-37.815078	145.159127	119.400000	5.400000	4.702502	195.070007
1503649433000	-37.815118	145.159113	119.400000	5.400000	4.719488	194.839996
1503649434000	-37.815157	145.159103	119.600000	5.400000	4.685002	192.240005
1503649435000	-37.815198	145.159097	119.500000	5.400000	4.733386	187.089996
1503649436000	-37.815243	145.159092	119.600000	5.400000	4.648457	188.210007
1503649437000	-37.815290	145.159083	119.400000	5.400000	4.654119	192.509995
1503649438000	-37.815333	145.159075	119.500000	5.400000	4.605220	190.929993
1503649439000	-37.815383	145.159068	119.800000	5.400000	4.647427	185.059998
1503649440000	-37.815433	145.159062	120.000000	5.400000	4.661325	190.059998
1503649441000	-37.815475	145.159048	120.300000	5.400000	4.612941	192.380005
1503649442000	-37.815518	145.159035	120.800000	5.400000	4.624264	189.500000
1503649443000	-37.815565	145.159030	121.100000	5.400000	4.646398	188.139999
1503649444000	-37.815610	145.159022	121.500000	5.400000	4.697870	189.910004
1503649445000	-37.815653	145.159020	121.800000	5.400000	4.668530	183.750000
1503649446000	-37.815698	145.159015	122.200000	5.400000	4.682428	186.229996
1503649447000	-37.815740	145.159008	122.600000	5.400000	4.585145	187.490005
1503649448000	-37.815778	145.159002	122.800000	5.400000	4.544997	188.380005
1503649449000	-37.815815	145.158995	123.100000	5.400000	4.412199	187.860001
1503649450000	-37.815852	145.158980	123.300000	5.400000	4.256753	198.419998
1503649451000	-37.815875	145.158967	123.600000	5.400000	4.084321	207.119995
1503649452000	-37.815912	145.158952	123.600000	5.400000	4.084836	205.039993
1503649453000	-37.815953	145.158940	123.800000	5.400000	4.074027	194.600006
1503649454000	-37.815993	145.158932	124.000000	5.400000	4.010715	191.000000
1503649455000	-37.816032	145.158922	124.000000	5.400000	3.984465	196.179993
1503649456000	-37.816070	145.158908	124.200000	5.400000	3.942772	194.720001
1503649457000	-37.816117	145.158898	124.200000	5.400000	3.981376	192.410004
1503649458000	-37.816155	145.158893	124.100000	5.400000	3.979317	183.110001
1503649459000	-37.816197	145.158888	124.200000	5.500000	4.025128	189.449997
1503649460000	-37.816232	145.158880	124.300000	5.500000	4.066820	195.600006
1503649461000	-37.816275	145.158868	124.400000	5.500000	4.290210	197.690002
1503649462000	-37.816312	145.158858	124.600000	5.500000	4.271680	189.270004
1503649463000	-37.816350	145.158853	124.700000	5.500000	4.265503	190.570007
1503649464000	-37.816390	145.158850	124.900000	5.500000	4.304622	189.419998
